,exponential,uniform,extreme
"Lemoine, BFGS, analytic_info.dat",2.077034669483405e-09,2.013105696747155e-09,1.93057921282297e-09
"Lemoine, BFGS, analytic_old_info.dat",2.082581275621657e-09,2.273904339026956e-09,2.742553620825184e-09
"Lemoine, BFGS, numerical_info.dat",2.391148716972588e-09,2.58306899503636e-09,2.843720377495326e-09
"Lemoine, BFGS, numerical_old_info.dat",2.395971680649374e-09,2.854356103336016e-09,3.649859170053673e-09
"Lemoine, Gauss-Newton_info.dat",1.97320126806614e-09,1.926023941975712e-09,1.851728526687715e-09
"Lemoine, Gauss-Newton_old_info.dat",1.980146235770204e-09,2.923962099110807e-06,1.192481066796557e-05
