,iter,ls,time,time2
"Lemoine, BFGS, analytic_info.dat",5.403802,10.047486,4.763934666666667,4.253748811281805
"Lemoine, BFGS, analytic_old_info.dat",6.263508666666667,12.556611000000002,5.134615666666666,5.2927271708120385
"Lemoine, BFGS, numerical_info.dat",5.567518333333333,10.871817,783.7289023333333,747.5683532290611
"Lemoine, BFGS, numerical_old_info.dat",6.429807,13.380618666666665,868.7186486666666,948.2876804338918
"Lemoine, Gauss-Newton_info.dat",2.480153,0.0,1.1121083333333335,1.0
"Lemoine, Gauss-Newton_old_info.dat",3.3388000000000004,0.0,1.3123603333333334,1.3806140357659211
